AH,Authentication Header,nagłówek uwierzytelniania
SNMP,Simple Network Management Protocol,prosty protokół zarządzania siecią
SONET,Synchronous Optical NETwork,synchroniczna sieć optyczna
SPX,Sequenced Packet Exchange,protokół sekwencyjnej wymiany pakietów
SSAP,Source Service Access Point,punkt dostępu usługi źródłowej
SSH,Secure SHell,bezpieczna powłoka
STM,Synchronous Transport Module,moduł transportu synchronicznego
STS,Synchronous Transport Signal,system sygnałów transportu synchronicznego
STP,Spanning Tree Protocol,protokół częściowego drzewa
SVC,Switched Virtual Circuit,komutowany obwód wirtualny
TCP,Transmission Control Protocol,protokół sterowania transmisją
TELNET,Network Terminal Protocol,protokół końcówki sieciowej
TFTP,Trivial File Transfer Protocol,trywialny protokół przesyłania plików
TIA,Telecommunications Industry Association,Towarzystwo Przemysłu Telekomunikacyjnego
TORMAN,TORun Municipal Area Network,toruńska miejska sieć komputerowa
TPC,Transmission Power Control,sterowanie moca sygnalu
UDP,User Datagram Protocol,protokol datagramow użytkownika
URL,Universal Resource Locator,ujednolicony lokalizator zasobow
UTP,Unshielded Twisted Pair,nieekranowana skretka
VLAN,Virtual LAN,wirtualna lokalna siec komputerowa
WAN,Wide Area Network,rozlegla siec komputerowa
WLAN,Wireless Local Area Network,lokalna bezprzewodowa siec komputerowa
WWW,World Wide Web,swiatowa pajeczyna
